"filename", "language", "SQL", "JSON", "Markdown", "JavaScript", "Django HTML", "XML", "Batch", "Vue", "Properties", "Java", "Django txt", "comment", "blank", "total"
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\README.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 40
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\basededados.sql", "SQL", 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 181, 610
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\README.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\babel.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\package-lock.json", "JSON", 0, 13356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13357
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\package.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\public\index.html", "Django HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 15, 105
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\AdminPages.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 1, 5, 52
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\AvisosAdmin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 4, 152
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\CategoryAdmin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 1, 4, 106
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\CondominosAdmin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 3, 168
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\EstacionamentosAdmin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 3, 160
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\NoticiasAdmin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 4, 149
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\UserAdmin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 5, 163
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\auth\Auth.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 19, 143
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\aviso\AvisoById.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 7, 58
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\aviso\AvisoItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 9, 73
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\aviso\AvisosByCategory.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 7, 82
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\condomino\CondominoById.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 7, 58
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\condomino\CondominoItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 1, 9, 94
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\condomino\CondominosByCategory.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 7, 77
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\estacionamento\EstacionamentoById.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 7, 58
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\estacionamento\EstacionamentoItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 9, 93
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\estacionamento\EstacionamentosByCategory.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 7, 77
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\home\About.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 22, 144
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\home\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 16, 143
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\home\PageInConstruction.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\home\Stat.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 8, 63
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\noticia\NoticiaById.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 7, 58
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\noticia\NoticiaItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 9, 73
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\noticia\NoticiasByCategory.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 7, 82
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Content.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Footer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Header.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 11, 85
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\HeaderMobile.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 11, 86
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Loading.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 3, 28, 250
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\PageTitle.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\UserDropdown.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 15, 102
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\axios.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\bootstrap.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\mq.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\msgs.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\router.js", "JavaScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 9, 92
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\store.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\global.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\main.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\auth.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 10, 54
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\aviso.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 15, 93
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\category.js", "JavaScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 23, 125
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\condomino.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 15, 93
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\estacionamento.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 1, 15, 94
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\noticia.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 15, 93
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\queries.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\stat.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\user.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 17, 104
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\validation.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\admin.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\db.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\middlewares.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\mongodb.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\passport.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\routes.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 18, 94
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\index.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\knexfile.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160142_create_table_users.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160156_create_table_categories.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160206_create_table_avisos.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160211_create_table_noticias.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160228_create_table_deleted_at_table_users.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200916163651_create_table_condominos.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200918104541_create_table_estacionamentos.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\package-lock.json", "JSON", 0, 4317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4318
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\schedule\statsSchedule.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 6, 38
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\package-lock.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\script.sql", "SQL", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 186
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 31, 11, 118
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\SisCondominioApplication.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\config\SecurityConfig.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 1, 103
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\config\TestConfig.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 8, 30
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\dto\ClienteDTO.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 1, 68
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\dto\CredenciaisDTO.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\dto\EmailDTO.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\endpoint\UsuariosEndpoint.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 1, 136
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\enums\Perfil.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\model\AbstractEntity.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\model\Usuarios.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 1, 188
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\repository\UserRepository.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\resources\AuthResource.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 1, 78
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\resources\exception\FieldMessage.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\resources\exception\ResourceExceptionHandler.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
